iter	Passed	Remaining
0	11	560
1	21	514
2	31	488
3	41	474
4	52	473
5	64	474
6	77	475
7	88	465
8	99	452
9	109	438
10	119	424
11	130	413
12	140	400
13	152	392
14	164	383
15	175	372
16	186	361
17	196	349
18	206	336
19	216	324
20	225	311
21	235	300
22	245	287
23	255	276
24	265	265
25	275	254
26	286	244
27	297	233
28	307	222
29	317	211
30	328	201
31	337	189
32	348	179
33	358	168
34	368	157
35	378	147
36	389	136
37	401	126
38	412	116
39	424	106
40	435	95
41	446	85
42	457	74
43	469	64
44	482	53
45	494	42
46	505	32
47	517	21
48	529	10
49	540	0
